web-scraper-order,web-scraper-start-url,pagination,detail
"1655803644-1061","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海新增14例新型冠状病毒感染的肺炎确诊病例"
"1655803644-378","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月15日，无新增本地新冠肺炎确诊病例 新增境外输入2例  治愈出院3例"
"1655803644-601","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月2日，无新增本地新冠肺炎确诊病例 新增境外输入6例   治愈出院4例"
"1655803644-581","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年1月21日新增本地新冠肺炎确诊病例6例，新增境外输入3例，治愈出院4例"
"1655803644-142","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2022年4月11日，新增本土新冠肺炎确诊病例994例 新增本土无症状感染者22348例 新增境外输入性新冠肺炎确诊病例4例 新增境外输入性无症状感染者1例 治愈出院391例"
"1655803644-65","https://wsjkw.sh.gov.cn/yqtb/index.html","","5月20日（0-24时）本市各区确诊病例、无症状感染者居住地信息"
"1655803644-777","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海7月17日无新增本地新冠肺炎确诊病例 无新增境外输入性新冠肺炎确诊病例 治愈出院5例"
"1655803644-196","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海新增6例本土确诊病例和55例本土无症状感染者，两地列为中风险地区"
"1655803644-855","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海有1例确诊病例今日出院，共计646例治愈出院"
"1655803644-376","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年8月17日，无新增本地新冠肺炎确诊病例 新增境外输入5例  治愈出院4例"
"1655803644-266","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年12月4日，无新增本土新冠肺炎确诊病例 新增境外输入4例  治愈出院4例"
"1655803644-749","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海8月10日无新增本地新冠肺炎确诊病例 新增境外输入8例  治愈出院3例"
"1655803644-407","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海2021年7月18日，无新增本地新冠肺炎确诊病例 新增境外输入4例 治愈出院1例"
"1655803644-941","https://wsjkw.sh.gov.cn/yqtb/index.html","","上海4月4日无新增本地新冠肺炎确诊病例   新增境外输入2例   治愈出院8例"
